Date,apel_net_sentiment,new_net_sentiment
24 Apr 04 MP,1.636363636,1.330798479
08 Jan 05 MP,0,-2.321083172
12 Feb 05 MP,2,0.457927876
3 Sep 05 MP,2,0.480769231
4 Nov 05 MP,0.615384615,-1.140684411
06 Mar 07 FM,0.666666667,-0.179654166
28 May 07 MP,1.5,0.715563506
9 Apr 07 FM,2,0.492914356
21 Jan 08 FM,0.296296296,-1.28032345
5 June 08 MP,2,0.819252432
4 July 08 MP,1.62962963,1.046475839
18 Feb 09 MP,0,-3.592181722
26 Mar 09 MP,0,-3.744939271
22 May 09 MP,0.842105263,-0.326797386
25 Apr 09 MP,0.805970149,-1.303258145
29 June 09 MP,0,-0.220264317
11 Sep 09 MP,0,-1.049618321
31 July 09 MP,0.533333333,-0.91503268
16 Oct 09 MP,0.933333333,-0.087450809
5 Oct 09 MP,0.9375,-0.582665696
12 Feb 10 MP,1.5,0.690250216
24 Feb 10 MP,1,0
4 Jan 10 MP,2,0.74941452
25 Apr 10 MP,0.775510204,-0.909466722
27 Apr 10 MP,0,-0.327064595
27 Aug 10 MP,0.5,-0.573271229
27 Oct 10 MP,0,-0.759013283
8 Dec 10 MP,2,1.244813278
21 Feb 11 MP,2,0.502512563
7 Jan 11 MP,0,-0.503461296
10 May 11 MP,1.777777778,1.014492754
17 Apr 11 FM,0.954545455,-0.251730648
23 June 11 MP,0,-1.005972964
27 Sep 11 MP,0.778761062,-1.719394773
22 Nov 11 MP,1.575757576,3.863097255
1 Feb 12 MP,0.695652174,-1.115537849
22 Feb 12 MP,0,-1.259346714
19 July 12 MP,0,-1.849568434
13 Mar 13 MP,0.806818182,-2.164226607
3 Jan 13 MP,1,0
8 Mar 13 MP,1.190839695,1.935733643
18 July 13 MP,0.242424242,-1.722356183
29 Aug 13 MP,0.897959184,-0.331235508
26 Feb 14 MP,0.813688213,-4.967055246
10 Apr 14 MP,0,-0.73800738
19 May 15 MP,0.431372549,-1.526315789
12 Mar 16 MP,0.074074074,-2.23914017
20 June 16 MP,0.962264151,-0.999167361
26 Aug 16 FM,0.489795918,-2.702702703
26 July 16 MP,1.053191489,1.242236025
16 Nov 17 MP,0,-0.422832981
20 Nov 17 MP,0.871287129,-0.849950964
27 Oct 17 MP,0.871287129,-0.849950964
26 Oct 18 MP,1.806451613,1.247816321
12 Apr 19 MP,1,0
29 June 19 FM,0.7,-0.442967885
24 Jan 20 MP,1.076923077,0.455373406
11 July 20 FSU,2,0.639318061
16 July 21 MP,0.930232558,-0.547945205
4 Mar 22 MP,0.848484848,-0.834376304
5 Sep 22 FM,0,-1.825293351
9 July 22 MP,1.232323232,4.222120239
27 Jan 23 FM,1.68,3.494347379
27 Jan 23 FSU,1.68,3.494347379
27 Apr 23 FM,2,0.468110006
11-Aug-23,0.666666667,-0.835945664
