,Regime,Meeting_Date,Repo_Rate,Rate_change,MP_Surprise
1,MPCS,10/4/2016,6.25,-0.25,-0.12
2,MPCS,12/7/2016,6.25,0,0.26
3,MPCS,2/8/2017,6.25,0,0.13
4,MPCS,4/6/2017,6.25,0,0.02
5,MPCS,6/7/2017,6.25,0,0.02
6,MPCS,8/2/2017,6,-0.25,-0.06
7,MPCS,10/4/2017,6,0,0.03
8,MPCS,12/6/2017,6,0,-0.01
9,MPCS,2/7/2018,6,0,-0.03
10,MPCS,4/5/2018,6,0,-0.015
11,MPCS,6/6/2018,6.25,0.25,0.045
12,MPCS,8/1/2018,6.5,0.25,0.09
13,MPCS,10/5/2018,6.5,0,-0.285
14,MPCS,12/5/2018,6.5,0,0
15,MPCS,2/7/2019,6.25,-0.25,-0.15
16,MPCS,4/4/2019,6,-0.25,0.02
17,MPCS,6/6/2019,5.75,-0.25,-0.02
18,MPCS,8/7/2019,5.4,-0.35,-0.04
19,MPCS,10/4/2019,5.15,-0.25,0.02
20,MPCS,12/5/2019,5.15,0,0.23
21,MPCS,2/6/2020,5.15,0,0
22,MPCS,3/27/2020,4.4,-0.75,-0.42
23,MPCS,5/22/2020,4,-0.4,-0.15
